id,state,city,klan_number,nickname,notes,latitude,longitude,year,sources
2128,Indiana,Montgomery County,174,,,40.0396014,-87.1746589,1931,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #10, 15 October 1931, Box 1, Folder 5"
2129,Indiana,New Pekin,178,,,38.5013571,-86.0342495,1930,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #22, 11 October 1930, Box 1, Folder 4"
2130,Indiana,Vigo County,181,,,39.4332668,-87.6909605,1931,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #1, 8 January 1931, Box 1, Folder 5"
2131,Indiana,Perrysville,182,,,40.0530326,-87.4445297,1929,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #9, 23 October 1929, Box 1, Folder 4, Chartered"
2132,Indiana,Gary,183,,,41.5885261,-87.4682638,1929,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #9, 23 October 1929, Box 1, Folder 4, Chartered"
2133,Indiana,Noble County,185,,,41.3948745,-85.7042956,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2134,Indiana,New Castle,186,,,39.9026444,-85.4440833,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2135,Indiana,Delaware County,188,,,40.2276035,-85.6775187,1931,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #5, 14 May 1931, Box 1, Folder 5"
2136,Indiana,DeKalb County,189,,,41.3969184,-85.2797096,1931,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #5, 14 May 1931, Box 1, Folder 5"
2137,Indiana,Alexandria,190,,,40.2573181,-85.6963154,1931,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #10, 15 October 1931, Box 1, Folder 5"
2138,Kansas,Rosedale,17,,,39.0580562,-94.6619351,1923,"Timothy D. Rives, The Ku Klux Klan in Kansas City, Kansas 1921-1930 (Unpublished M. A. Thesis, Emporia State University, 1995), 29, (https://esirc.emporia.edu/bitstream/handle/123456789/1620/Rives%201995.pdf?sequence=1)"
2139,Kansas,Bonner Springs,39,,WKKK chapter,39.0762209,-94.9481443,,"Loren L. Taylor, The Consolidated Ethnic History of Wyandotte County (Kansas City, Kansas: Kansas City, Kansas, Ethnic Council, Inc., 2000), 98"
2140,Louisiana,Mansfield,14,Charles E. Jenkins Klan,,32.0393627,-93.7360806,1922,"Shreveport Times, 15 February 1922."
2141,Louisiana,Lafayette,24,B. C. Crow Klan,,30.2119763,-92.1087805,1923,"Lafayette Ku Klux Disband To Keep Peace, Shreveport Times, 5 April 1923."
2142,Louisiana,Homer,63,,,32.7985747,-93.0967592,1923,"Ku Klux Klan & The Sheriffs, Hearst’s International Magazine, March 1923."
2143,Michigan,Iona County,15,,,42.9445852,-85.3555984,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2144,Michigan,Lincoln,42,,,44.6830966,-83.431102,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2145,Michigan,Redford,48,,,42.3989245,-83.3265112,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2146,Michigan,Hart,50,,,43.6955546,-86.4100637,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2147,Michigan,Dearborn,64,,,42.3145148,-83.3538352,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2148,Michigan,Sanilac County,69,,,43.423468,-83.183464,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2149,Michigan,Chesaning,74,,,43.18779,-84.1592976,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2150,Michigan,Twin City,85,,at least three possible locations,,,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2151,Michigan,Romulus,86,Gateway City Klan,location uncertain,42.2238927,-83.4013172,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2152,Michigan,Livonia Center,87,,,,,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2153,Michigan,Ferndale,99,,,42.4609721,-83.1686216,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #10, 21 October 1932, Box 1, Folder 4"
2154,Michigan,Holt,102,,,42.6365965,-84.557494,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2155,Michigan,Stamaugh,113,,,46.0844795,-88.6373157,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2156,Michigan,Marquette,115,,,46.6101736,-87.6297582,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2157,Michigan,Muskegon,142,,,43.2364542,-86.3969527,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #4, 11 April 1932, Box 1, Folder 6"
2158,Michigan,Highland Park,147,,,42.4031171,-83.1329845,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #1, 8 January 1932, Box 1, Folder 6"
2159,Michigan,Invisible,157,,,,,1932,"Indiana Historical Society, M407, IN HIST SOC, KKK-Wayne County, Bulletin #8, 7 July 1932, Box 1, Folder 4"
2160,Michigan,Monitor,158,,,43.6113955,-84.0529296,1932,"Indiana Historical Society, M409, IN HIST SOC, KKK-Crown Point, Bulletin #2, 2 February 1932, Box 1, Folder 6"
2161,Missouri,Bourbon,133,,,38.1487313,-91.2848627,1925,"Wisconsin Kourier, 13 March 1925"
2162,Montana,Missoula,16,University City Klan,,46.8762356,-114.1585923,1922,"Missoula (MT) Missoulian, 8 June 1922; 26 November 1925"
2163,New Jersey,Whippany,1,Warren G. Harding Klan,,40.8287442,-74.4385173,1924,"Raleigh Carolina Jeffersonian, 13 November 1924"
2164,New Jersey,Point Pleasant Beach,9,,,40.0904271,-74.0653165,1929,"KNIGHTS OF THE KU KLUX KLAN, Inc., v. MONMOUTH PLEASURE CLUB ASS'N, Inc., et al., Circuit Court of Appeals, Third Circuit. September 19, 1929. [http://www.leagle.com/decision/192976434F2d730_1515/KNIGHTS%20OF%20THE%20K.%20K.%20KLAN%20v.%20MONMOUTH%20PLEASURE%20CLUB%20ASS%27N ]"
